gender,race_ethnicity,parent_level_of_education,lunch,test_prep_course,math_score,reading_score,writing_score,average_score,pass_npass
female,group D,some college,standard,completed,59,70,78,69,1
male,group D,associate's degree,standard,none,96,93,87,92,1
female,group D,some college,free/reduced,none,57,76,77,70,1
male,group B,some college,free/reduced,none,70,70,63,67.7,1
female,group D,associate's degree,standard,none,83,85,86,84.7,1
male,group C,some high school,standard,none,68,57,54,59.7,1
female,group E,associate's degree,standard,none,82,83,80,81.7,1
female,group B,some high school,standard,none,46,61,58,55,1
male,group C,some high school,standard,none,80,75,73,76,1
female,group C,bachelor's degree,standard,completed,57,69,77,67.7,1
male,group B,some high school,standard,none,74,69,69,70.7,1
male,group B,master's degree,standard,none,53,50,49,50.7,1
male,group B,bachelor's degree,free/reduced,none,76,74,76,75.3,1
male,group A,some college,standard,none,70,73,70,71,1
male,group C,master's degree,free/reduced,none,55,54,52,53.7,1
male,group E,master's degree,free/reduced,none,56,46,43,48.3,0
female,group C,some college,free/reduced,none,35,47,41,41,0
female,group C,high school,standard,none,87,92,81,86.7,1
female,group E,associate's degree,free/reduced,none,80,82,85,82.3,1
female,group D,associate's degree,standard,completed,65,71,74,70,1
male,group C,high school,free/reduced,none,66,66,62,64.7,1
female,group D,associate's degree,standard,completed,67,71,76,71.3,1
female,group B,some college,standard,none,70,71,71,70.7,1
male,group E,associate's degree,standard,none,89,88,86,87.7,1
male,group D,associate's degree,standard,completed,99,85,88,90.7,1
male,group B,some college,standard,none,74,83,72,76.3,1
male,group D,high school,free/reduced,none,58,52,51,53.7,1
male,group D,some high school,standard,none,70,66,59,65,1
female,group E,associate's degree,standard,none,80,79,71,76.7,1
male,group D,associate's degree,standard,none,90,87,86,87.7,1
female,group B,associate's degree,standard,completed,80,81,85,82,1
female,group D,associate's degree,free/reduced,none,68,76,79,74.3,1
female,group B,high school,free/reduced,completed,69,78,75,74,1
female,group D,master's degree,free/reduced,none,32,35,37,34.7,0
male,group D,high school,standard,completed,82,82,82,82,1
female,group A,some high school,standard,none,57,53,54,54.7,1
female,group E,some college,free/reduced,none,69,74,75,72.7,1
male,group D,associate's degree,standard,completed,68,66,72,68.7,1
male,group C,associate's degree,free/reduced,completed,74,85,87,82,1
male,group E,master's degree,standard,none,89,85,78,84,1
male,group C,associate's degree,free/reduced,completed,46,46,48,46.7,0
male,group C,associate's degree,standard,completed,76,82,77,78.3,1
male,group B,high school,standard,none,86,82,72,80,1
male,group D,some college,standard,none,69,73,67,69.7,1
female,group B,high school,standard,none,52,56,54,54,1
male,group C,bachelor's degree,standard,none,63,71,65,66.3,1
male,group A,associate's degree,standard,completed,96,82,90,89.3,1
male,group C,some college,standard,completed,80,76,68,74.7,1
female,group E,high school,standard,none,59,52,56,55.7,1
male,group D,some high school,standard,completed,80,77,80,79,1
female,group E,high school,free/reduced,completed,65,77,74,72,1
female,group E,master's degree,free/reduced,completed,74,83,84,80.3,1
male,group D,some high school,standard,none,90,93,84,89,1
female,group B,some college,standard,completed,69,72,72,71,1
male,group C,high school,standard,none,69,67,63,66.3,1
female,group C,some college,standard,none,62,64,61,62.3,1
female,group D,master's degree,standard,none,67,75,80,74,1
female,group E,some high school,standard,completed,89,93,93,91.7,1
female,group C,bachelor's degree,standard,none,79,86,78,81,1
male,group C,some high school,standard,none,67,66,66,66.3,1
male,group D,some high school,standard,completed,82,74,75,77,1
male,group C,some high school,free/reduced,completed,63,69,63,65,1
female,group D,some college,free/reduced,none,71,83,80,78,1
female,group C,associate's degree,standard,none,55,68,73,65.3,1
female,group B,high school,free/reduced,none,61,74,71,68.7,1
female,group B,associate's degree,free/reduced,none,35,34,36,35,0
male,group C,high school,free/reduced,none,75,77,66,72.7,1
female,group B,some high school,free/reduced,completed,73,91,88,84,1
female,group C,high school,free/reduced,none,56,62,57,58.3,1
male,group D,associate's degree,standard,none,80,70,73,74.3,1
male,group C,some high school,standard,completed,83,81,78,80.7,1
female,group D,some college,free/reduced,completed,64,82,80,75.3,1
female,group C,some high school,standard,none,23,33,33,29.7,0
female,group D,some high school,free/reduced,completed,41,58,59,52.7,1
male,group E,some college,standard,completed,61,49,52,54,1
male,group B,bachelor's degree,standard,none,63,46,46,51.7,1
male,group B,associate's degree,free/reduced,completed,84,91,89,88,1
male,group C,some college,standard,none,55,61,59,58.3,1
male,group A,associate's degree,standard,completed,85,75,74,78,1
male,group B,high school,standard,none,65,61,57,61,1
male,group C,associate's degree,standard,none,88,80,81,83,1
male,group D,master's degree,free/reduced,completed,91,93,95,93,1
female,group A,some college,standard,none,51,46,42,46.3,0
male,group C,some college,standard,completed,73,77,76,75.3,1
female,group D,some college,standard,none,73,89,89,83.7,1
male,group D,master's degree,standard,none,100,97,91,96,1
female,group D,some high school,standard,completed,48,68,68,61.3,1
male,group E,some college,standard,none,98,79,85,87.3,1
male,group B,master's degree,standard,none,68,65,60,64.3,1
male,group C,bachelor's degree,standard,none,64,62,58,61.3,1
male,group C,associate's degree,free/reduced,completed,72,67,61,66.7,1
female,group C,bachelor's degree,standard,none,63,74,75,70.7,1
male,group C,some college,standard,none,43,51,38,44,0
male,group D,some college,standard,none,80,75,74,76.3,1
female,group C,some college,standard,none,71,88,83,80.7,1
female,group C,associate's degree,standard,completed,91,96,97,94.7,1
female,group D,some college,standard,completed,68,84,87,79.7,1
female,group B,associate's degree,standard,none,73,80,78,77,1
female,group B,high school,free/reduced,completed,75,90,95,86.7,1
male,group C,some college,free/reduced,none,83,62,64,69.7,1
male,group D,high school,standard,none,88,72,74,78,1
male,group C,bachelor's degree,standard,none,59,50,53,54,1
male,group D,associate's degree,standard,none,74,69,63,68.7,1
female,group C,some college,free/reduced,none,43,58,60,53.7,1
female,group C,high school,free/reduced,none,76,90,84,83.3,1
female,group D,some high school,standard,none,74,75,74,74.3,1
female,group B,some high school,standard,completed,69,76,72,72.3,1
female,group B,some high school,standard,none,62,78,74,71.3,1
male,group C,associate's degree,free/reduced,completed,61,58,56,58.3,1
male,group E,some college,standard,none,88,81,77,82,1
female,group D,some high school,free/reduced,completed,64,84,83,77,1
female,group B,bachelor's degree,standard,none,65,79,73,72.3,1
female,group C,some college,standard,completed,73,86,89,82.7,1
female,group C,master's degree,standard,completed,50,64,63,59,1
female,group B,associate's degree,standard,completed,63,72,78,71,1
female,group E,bachelor's degree,standard,none,98,95,100,97.7,1
female,group E,high school,standard,none,90,96,88,91.3,1
male,group C,high school,free/reduced,completed,64,71,68,67.7,1
female,group B,high school,free/reduced,none,38,55,52,48.3,0
female,group B,bachelor's degree,standard,none,84,91,93,89.3,1
male,group D,high school,standard,completed,81,74,79,78,1
male,group D,master's degree,standard,none,82,84,81,82.3,1
female,group D,associate's degree,free/reduced,completed,64,67,75,68.7,1
female,group B,high school,standard,none,55,60,67,60.7,1
female,group D,bachelor's degree,free/reduced,completed,59,78,80,72.3,1
female,group E,some college,standard,none,83,90,88,87,1
male,group B,associate's degree,standard,completed,76,79,80,78.3,1
female,group D,some high school,standard,completed,83,95,97,91.7,1
female,group C,associate's degree,standard,none,69,75,75,73,1
female,group C,some college,free/reduced,none,43,65,60,56,1
female,group C,associate's degree,free/reduced,none,52,65,60,59,1
female,group C,some college,standard,none,56,58,55,56.3,1
male,group D,some high school,free/reduced,completed,47,46,51,48,0
male,group D,master's degree,standard,none,71,61,63,65,1
female,group C,master's degree,standard,completed,66,70,83,73,1
male,group C,some college,standard,none,81,65,60,68.7,1
female,group E,master's degree,standard,none,85,90,88,87.7,1
female,group E,master's degree,standard,none,76,77,77,76.7,1
female,group D,some college,free/reduced,none,50,66,66,60.7,1
male,group C,high school,standard,none,76,81,74,77,1
male,group C,some college,standard,none,65,64,61,63.3,1
female,group D,high school,standard,none,59,69,64,64,1
male,group C,high school,standard,none,84,77,80,80.3,1
male,group E,bachelor's degree,standard,none,85,77,78,80,1
female,group D,associate's degree,standard,none,61,56,60,59,1
female,group A,bachelor's degree,standard,completed,73,79,81,77.7,1
male,group D,some high school,standard,none,82,77,72,77,1
female,group E,associate's degree,standard,none,75,70,71,72,1
male,group C,bachelor's degree,standard,none,91,83,82,85.3,1
female,group C,master's degree,standard,none,67,78,80,75,1
male,group D,high school,standard,completed,62,69,67,66,1
male,group B,master's degree,standard,none,61,56,52,56.3,1
female,group C,high school,standard,none,66,77,80,74.3,1
male,group A,master's degree,standard,none,59,57,51,55.7,1
male,group E,some college,standard,none,88,76,81,81.7,1
female,group B,associate's degree,free/reduced,none,67,73,74,71.3,1
female,group B,associate's degree,standard,completed,91,99,100,96.7,1
male,group C,associate's degree,free/reduced,completed,87,82,79,82.7,1
male,group B,some college,standard,completed,83,79,80,80.7,1
female,group D,associate's degree,standard,none,70,79,76,75,1
male,group E,associate's degree,standard,none,83,83,78,81.3,1
male,group C,associate's degree,standard,none,49,53,47,49.7,0
male,group D,high school,standard,completed,65,60,57,60.7,1
male,group B,associate's degree,free/reduced,completed,50,56,55,53.7,1
male,group A,some college,standard,none,62,58,57,59,1
male,group E,bachelor's degree,standard,none,56,50,50,52,1
female,group C,associate's degree,standard,none,44,49,53,48.7,0
female,group E,some high school,free/reduced,none,63,72,60,65,1
male,group D,high school,standard,completed,72,69,74,71.7,1
female,group D,bachelor's degree,free/reduced,completed,64,77,77,72.7,1
female,group B,some college,standard,completed,61,75,82,72.7,1
male,group D,some college,free/reduced,none,82,72,69,74.3,1
female,group A,some high school,standard,completed,57,68,74,66.3,1
male,group E,master's degree,standard,none,43,45,38,42,0
male,group D,some high school,standard,none,69,56,59,61.3,1
female,group D,master's degree,standard,none,62,71,74,69,1
female,group B,some high school,standard,none,60,73,68,67,1
male,group E,high school,standard,none,81,70,70,73.7,1
female,group C,associate's degree,free/reduced,completed,68,84,87,79.7,1
male,group C,associate's degree,standard,none,65,63,57,61.7,1
female,group B,high school,standard,none,59,72,67,66,1
female,group B,associate's degree,standard,none,81,89,86,85.3,1
male,group A,master's degree,free/reduced,none,84,85,87,85.3,1
female,group A,high school,standard,completed,56,68,70,64.7,1
male,group B,master's degree,free/reduced,completed,71,75,73,73,1
female,group D,master's degree,free/reduced,none,93,98,94,95,1
female,group C,high school,standard,none,77,81,85,81,1
male,group C,some college,standard,none,50,40,44,44.7,0
female,group D,some college,standard,none,75,75,78,76,1
female,group C,bachelor's degree,standard,none,64,82,80,75.3,1
male,group C,bachelor's degree,standard,none,77,65,69,70.3,1
female,group A,some high school,standard,completed,64,81,87,77.3,1
male,group B,some high school,standard,none,71,63,55,63,1
male,group D,some high school,free/reduced,completed,58,57,53,56,1
female,group D,high school,free/reduced,none,47,66,66,59.7,1
male,group D,associate's degree,standard,none,57,63,54,58,1
male,group C,some college,standard,completed,82,89,86,85.7,1
female,group B,master's degree,standard,none,53,61,59,57.7,1
female,group C,associate's degree,free/reduced,completed,89,98,99,95.3,1
female,group E,some college,standard,completed,89,94,94,92.3,1
female,group A,some college,free/reduced,completed,75,97,92,88,1
male,group D,some college,free/reduced,none,62,61,57,60,1
female,group B,high school,standard,none,63,76,67,68.7,1
male,group E,high school,standard,none,100,91,85,92,1
female,group B,associate's degree,standard,none,62,81,77,73.3,1
female,group B,associate's degree,standard,none,75,95,94,88,1
male,group C,some college,standard,none,51,56,53,53.3,1
male,group E,master's degree,free/reduced,none,74,67,67,69.3,1
male,group C,high school,free/reduced,none,66,66,58,63.3,1
male,group C,some high school,standard,completed,52,59,59,56.7,1
male,group E,master's degree,free/reduced,none,69,56,56,60.3,1
female,group E,some high school,free/reduced,completed,46,57,57,53.3,1
female,group E,some college,standard,none,74,77,73,74.7,1
male,group B,master's degree,standard,none,100,90,88,92.7,1
male,group A,some high school,standard,none,83,77,77,79,1
male,group D,associate's degree,free/reduced,completed,82,78,90,83.3,1
female,group D,high school,standard,none,58,66,70,64.7,1
male,group A,some high school,free/reduced,completed,59,55,58,57.3,1
female,group D,high school,standard,none,77,90,82,83,1
female,group E,high school,standard,none,61,61,57,59.7,1
male,group C,master's degree,standard,none,85,81,80,82,1
female,group E,high school,free/reduced,completed,59,68,68,65,1
female,group C,master's degree,free/reduced,completed,71,92,93,85.3,1
female,group E,some high school,standard,none,52,71,70,64.3,1
female,group D,some college,standard,none,62,62,68,64,1
male,group B,associate's degree,standard,none,47,48,49,48,0
male,group D,some college,standard,completed,96,92,88,92,1
female,group E,some high school,standard,none,48,60,57,55,1
male,group C,high school,free/reduced,none,20,25,15,20,0
female,group C,some high school,standard,none,70,75,76,73.7,1
male,group B,high school,free/reduced,completed,59,62,58,59.7,1
female,group E,associate's degree,free/reduced,none,80,80,83,81,1
female,group B,some college,standard,none,83,88,90,87,1
male,group C,bachelor's degree,standard,none,75,71,76,74,1
male,group D,some college,free/reduced,completed,73,68,72,71,1
female,group C,associate's degree,standard,none,78,78,82,79.3,1
male,group B,bachelor's degree,standard,completed,94,82,93,89.7,1
female,group B,some high school,free/reduced,completed,46,63,66,58.3,1
male,group D,some college,free/reduced,completed,77,77,77,77,1
male,group B,some high school,standard,none,63,56,47,55.3,1
male,group B,bachelor's degree,standard,completed,64,70,72,68.7,1
female,group D,some high school,free/reduced,none,60,69,70,66.3,1
female,group D,some college,standard,none,74,79,73,75.3,1
female,group B,high school,free/reduced,none,67,77,81,75,1
male,group C,high school,standard,completed,78,81,80,79.7,1
male,group C,high school,standard,completed,88,75,72,78.3,1
female,group C,associate's degree,free/reduced,completed,52,64,66,60.7,1
male,group C,high school,standard,none,88,66,73,75.7,1
male,group A,high school,standard,completed,78,88,85,83.7,1
female,group C,high school,standard,none,55,62,61,59.3,1
female,group C,some college,standard,none,71,69,73,71,1
male,group C,high school,free/reduced,none,75,79,68,74,1
male,group B,bachelor's degree,standard,completed,62,60,55,59,1
female,group B,bachelor's degree,standard,completed,66,73,72,70.3,1
male,group D,bachelor's degree,standard,none,39,45,36,40,0
male,group B,some college,standard,none,85,80,73,79.3,1
female,group B,high school,free/reduced,none,46,57,53,52,1
male,group C,master's degree,free/reduced,completed,57,64,66,62.3,1
female,group B,associate's degree,standard,completed,65,78,81,74.7,1
male,group C,some college,standard,none,86,82,72,80,1
male,group C,some high school,standard,none,59,50,41,50,0
female,group D,some high school,free/reduced,completed,49,69,68,62,1
male,group B,some college,free/reduced,none,51,50,44,48.3,0
female,group A,associate's degree,standard,none,53,57,60,56.7,1
female,group C,some college,standard,none,82,84,83,83,1
female,group C,high school,free/reduced,none,51,68,66,61.7,1
female,group D,some high school,standard,none,74,79,79,77.3,1
female,group D,master's degree,free/reduced,none,73,72,75,73.3,1
female,group D,high school,free/reduced,none,42,61,63,55.3,1
female,group C,some college,free/reduced,completed,41,59,56,52,1
female,group C,some college,standard,none,84,88,84,85.3,1
female,group D,some college,free/reduced,completed,64,66,62,64,1
female,group E,high school,free/reduced,none,74,88,75,79,1
male,group C,associate's degree,standard,none,91,84,77,84,1
male,group D,associate's degree,standard,none,67,72,65,68,1
female,group B,high school,standard,none,54,56,59,56.3,1
female,group D,master's degree,standard,none,44,39,37,40,0
female,group C,master's degree,standard,completed,65,84,86,78.3,1
male,group A,associate's degree,standard,none,37,40,36,37.7,0
female,group A,associate's degree,free/reduced,none,58,75,78,70.3,1
female,group C,bachelor's degree,free/reduced,none,69,78,78,75,1
male,group C,some high school,standard,none,64,56,51,57,1
female,group C,high school,standard,none,70,63,63,65.3,1
female,group B,high school,free/reduced,none,55,68,66,63,1
female,group B,some college,standard,completed,45,63,67,58.3,1
male,group E,some college,standard,completed,80,70,71,73.7,1
male,group A,some college,standard,none,77,73,69,73,1
male,group B,bachelor's degree,free/reduced,none,57,54,44,51.7,1
female,group C,bachelor's degree,standard,none,67,72,72,70.3,1
female,group A,master's degree,standard,none,68,70,72,70,1
male,group C,high school,standard,none,49,53,43,48.3,0
female,group D,associate's degree,standard,none,42,48,42,44,0
female,group E,associate's degree,standard,none,96,93,100,96.3,1
female,group C,bachelor's degree,free/reduced,none,55,56,54,55,1
male,group D,master's degree,standard,none,70,65,56,63.7,1
male,group C,bachelor's degree,free/reduced,none,51,53,51,51.7,1
female,group B,some college,free/reduced,completed,27,49,50,42,0
male,group D,high school,standard,none,60,54,47,53.7,1
female,group B,some high school,standard,none,44,56,47,49,0
female,group C,high school,standard,completed,63,73,74,70,1
female,group C,associate's degree,standard,none,72,77,75,74.7,1
female,group D,some high school,standard,none,82,77,80,79.7,1
female,group B,bachelor's degree,standard,completed,82,85,99,88.7,1
female,group A,some high school,standard,none,70,82,83,78.3,1
